,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borskoye,53.0333,51.7167,41.32,59,6,10.65,RU,1619378434
1,dikson,73.5069,80.5464,16.23,90,100,10.65,RU,1619378434
2,baykit,61.67,96.37,31.03,87,85,6.55,RU,1619378434
3,puerto ayora,-0.7393,-90.3518,82.4,65,20,19.57,EC,1619378262
4,mount gambier,-37.8333,140.7667,51.8,93,90,4.61,AU,1619378435
5,guerrero negro,27.9769,-114.0611,67.15,57,96,12.39,MX,1619378198
6,qaanaaq,77.484,-69.3632,31.46,73,43,4.27,GL,1619378190
7,banda aceh,5.5577,95.3222,79.74,78,79,7.52,ID,1619378436
8,port hardy,50.6996,-127.4199,50.0,87,90,6.91,CA,1619378437
9,kodiak,57.79,-152.4072,39.2,93,90,12.66,US,1619378206
10,fortuna,40.5982,-124.1573,53.01,87,75,8.05,US,1619378250
11,cherskiy,68.75,161.3,2.43,96,96,4.7,RU,1619378438
12,kokkola,63.8385,23.1307,33.01,93,90,19.57,FI,1619378438
13,grand forks,47.9417,-97.4337,44.6,65,90,18.41,US,1619378439
14,mataura,-46.1927,168.8643,43.0,84,97,10.0,NZ,1619378196
15,carnarvon,-24.8667,113.6333,62.6,77,0,5.75,AU,1619378439
16,torgelow,53.6333,14.0167,42.01,64,3,8.37,DE,1619378440
17,new norfolk,-42.7826,147.0587,57.0,80,92,1.01,AU,1619378440
18,albany,42.6001,-73.9662,57.2,71,90,6.91,US,1619378242
19,hermanus,-34.4187,19.2345,63.0,84,100,1.99,ZA,1619378441
20,rabo de peixe,37.8,-25.5833,60.8,72,40,13.8,PT,1619378441
21,khilok,51.3674,110.4676,37.62,98,100,6.35,RU,1619378442
22,pemangkat,1.1667,108.9667,77.92,85,98,4.34,ID,1619378442
23,busselton,-33.65,115.3333,52.0,96,100,3.85,AU,1619378443
24,lompoc,34.6391,-120.4579,59.0,67,100,8.05,US,1619378443
25,dubti,11.7361,41.0853,86.23,44,81,9.75,ET,1619378444
26,noumea,-22.2763,166.4572,77.0,100,90,3.44,NC,1619378444
27,tecoanapa,16.5167,-98.75,86.22,62,89,11.48,MX,1619378445
28,faanui,-16.4833,-151.75,80.85,66,8,4.68,PF,1619378203
29,hanchuan,30.65,113.7667,57.2,94,100,4.47,CN,1619378445
30,ushuaia,-54.8,-68.3,55.4,54,40,10.36,AR,1619378259
31,isangel,-19.55,169.2667,76.35,86,100,8.93,VU,1619378446
32,chara,56.9064,118.2631,31.06,86,100,0.54,RU,1619378446
33,kavaratti,10.5669,72.642,84.22,71,0,8.32,IN,1619378355
34,rikitea,-23.1203,-134.9692,77.7,75,100,7.94,PF,1619378447
35,garmsar,35.2182,52.3409,76.19,36,100,11.81,IR,1619378447
36,acapulco,16.8634,-99.8901,87.8,62,90,11.5,MX,1619378448
37,punta arenas,-53.15,-70.9167,57.2,62,75,18.41,CL,1619378448
38,college,64.8569,-147.8028,50.0,37,1,0.4,US,1619378275
39,kapaa,22.0752,-159.319,78.8,65,40,14.97,US,1619378449
40,bethel,41.3712,-73.414,55.4,67,90,9.22,US,1619378449
41,svetlyy,54.675,20.1347,36.0,80,75,6.71,RU,1619378450
42,tianpeng,30.9866,103.9393,60.8,88,40,4.47,CN,1619378225
43,rocha,-34.4833,-54.3333,63.9,76,74,15.75,UY,1619378450
44,belmonte,-15.8631,-38.8828,82.4,65,20,13.8,BR,1619378451
45,mahebourg,-20.4081,57.7,75.2,94,75,11.5,MU,1619378451
46,tamandare,-8.7597,-35.1047,81.79,73,31,8.66,BR,1619378452
47,chuy,-33.6971,-53.4616,62.71,77,96,14.27,UY,1619378452
48,yulara,-25.2406,130.9889,57.2,47,0,10.36,AU,1619378187
49,havelock,34.8791,-76.9013,68.0,59,90,18.41,US,1619378453
50,ovre ardal,61.3167,7.8,33.8,51,40,4.61,NO,1619378453
51,lebu,-37.6167,-73.65,60.15,75,0,13.15,CL,1619378169
52,sao filipe,14.8961,-24.4956,72.01,74,58,10.51,CV,1619378311
53,fairbanks,64.8378,-147.7164,50.0,37,1,0.43,US,1619378245
54,upernavik,72.7868,-56.1549,36.34,84,0,1.39,GL,1619378455
55,puerto carreno,6.189,-67.4859,94.05,39,100,2.3,CO,1619378455
56,saskylakh,71.9167,114.0833,14.97,95,100,10.45,RU,1619378455
57,nemuro,43.3236,145.575,32.07,66,11,18.48,JP,1619378456
58,yuli,9.6989,10.2744,80.64,62,100,8.63,NG,1619378456
59,moyale,3.5167,39.0584,68.94,77,94,4.09,KE,1619378457
60,vestmanna,62.1564,-7.1664,46.4,93,100,11.5,FO,1619378372
61,palana,59.1167,159.9667,23.2,96,100,2.86,RU,1619378457
62,biltine,14.5333,20.9167,91.58,19,97,5.86,TD,1619378458
63,atar,20.5169,-13.0499,90.55,12,0,11.21,MR,1619378458
64,souillac,-20.5167,57.5167,75.2,94,75,11.5,MU,1619378459
65,beneditinos,-5.45,-42.3667,87.8,62,20,8.05,BR,1619378459
66,thompson,55.7435,-97.8558,37.4,38,75,11.5,CA,1619378460
67,hailey,43.5196,-114.3153,41.0,87,90,3.44,US,1619378460
68,petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,100,75,4.47,RU,1619378460
69,east london,-33.0153,27.9116,68.0,83,0,8.05,ZA,1619378461
70,yellowknife,62.456,-114.3525,10.99,61,90,9.22,CA,1619378261
71,ribeira grande,38.5167,-28.7,66.2,68,20,4.61,PT,1619378461
72,marawi,7.9986,124.2928,78.01,89,100,1.99,PH,1619378462
73,lichinga,-13.3128,35.2406,64.4,100,20,9.22,MZ,1619378462
74,bambous virieux,-20.3428,57.7575,78.01,94,75,11.5,MU,1619378241
75,hithadhoo,-0.6,73.0833,82.65,67,98,3.42,MV,1619378172
76,lima,-12.0432,-77.0282,68.0,88,75,8.05,PE,1619378463
77,sana,15.3547,44.2067,66.51,44,100,1.54,YE,1619378435
78,angoche,-16.2325,39.9086,76.64,85,85,4.92,MZ,1619378464
79,sakaiminato,35.55,133.2333,51.8,46,0,13.8,JP,1619378464
80,maceio,-9.6658,-35.7353,84.2,65,20,9.22,BR,1619378465
81,merauke,-8.4667,140.3333,75.81,84,100,6.13,ID,1619378465
82,mulchen,-37.7167,-72.2333,71.6,43,0,13.8,CL,1619378465
83,araucaria,-25.5931,-49.4103,68.0,68,0,9.22,BR,1619378466
84,hobart,-42.8794,147.3294,57.2,58,90,14.97,AU,1619378419
