,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,victoria,22.2855,114.1577,75.0,87,100,1.01,HK,1619450373
1,cidreira,-30.1811,-50.2056,67.98,63,66,13.58,BR,1619450441
2,ust-kuyga,70.0167,135.6,27.34,98,100,1.7,RU,1619450441
3,maanshan,31.6957,118.4983,64.4,100,90,6.71,CN,1619450441
4,manggar,-2.8833,108.2667,82.47,71,25,5.95,ID,1619450442
5,san ramon,37.7799,-121.978,51.01,87,1,4.12,US,1619450245
6,rikitea,-23.1203,-134.9692,77.02,75,10,5.01,PF,1619450442
7,kruisfontein,-34.0033,24.7314,64.0,79,100,3.0,ZA,1619450442
8,nikolskoye,59.7035,30.7861,42.01,81,90,4.47,RU,1619450443
9,tuatapere,-46.1333,167.6833,42.01,87,100,10.0,NZ,1619450443
10,ushuaia,-54.8,-68.3,41.0,93,75,3.44,AR,1619450294
11,bethel,41.3712,-73.414,48.2,37,1,13.8,US,1619450444
12,eyrarbakki,63.863,-21.1481,50.0,57,0,5.75,IS,1619450444
13,cape town,-33.9258,18.4232,71.01,64,75,12.66,ZA,1619450444
14,yumen,40.2833,97.2,48.67,13,92,6.58,CN,1619450445
15,carnarvon,-24.8667,113.6333,68.0,83,0,6.35,AU,1619450445
16,jamestown,42.097,-79.2353,42.01,52,1,9.22,US,1619450446
17,punta arenas,-53.15,-70.9167,46.4,93,90,6.91,CL,1619450263
18,ribeira grande,38.5167,-28.7,62.6,77,40,8.05,PT,1619450446
19,yellowknife,62.456,-114.3525,0.0,65,20,13.8,CA,1619450358
20,east london,-33.0153,27.9116,73.4,73,0,6.91,ZA,1619450447
21,hobart,-42.8794,147.3294,51.8,71,6,4.61,AU,1619450419
22,port alfred,-33.5906,26.891,77.05,61,100,12.46,ZA,1619450447
23,saint-philippe,-21.3585,55.7679,78.8,73,100,14.97,RE,1619450448
24,hermanus,-34.4187,19.2345,70.0,67,15,17.31,ZA,1619450448
25,longyearbyen,78.2186,15.6401,23.0,58,20,12.66,SJ,1619450448
26,merauke,-8.4667,140.3333,77.29,90,100,7.54,ID,1619450449
27,mataura,-46.1927,168.8643,42.01,87,100,10.0,NZ,1619450449
28,taonan,45.3333,122.7833,61.56,26,76,23.38,CN,1619450449
29,te anau,-45.4167,167.7167,37.47,90,76,1.52,NZ,1619450450
30,kathu,7.9178,98.3332,84.99,94,75,1.14,TH,1619450450
31,provideniya,64.3833,-173.3,31.14,93,66,2.08,RU,1619450450
32,ponta do sol,32.6667,-17.1,68.0,77,35,5.99,PT,1619450451
33,nurobod,40.9056,69.8023,77.0,25,0,6.91,UZ,1619450451
34,deputatskiy,69.3,139.9,18.09,91,100,2.28,RU,1619450451
35,hilo,19.7297,-155.09,69.8,78,20,6.91,US,1619450428
36,beringovskiy,63.05,179.3167,25.79,94,64,3.98,RU,1619450452
37,beloha,-25.1667,45.05,78.01,67,8,9.44,MG,1619450453
38,orbetello,42.4408,11.2196,68.0,37,0,10.36,IT,1619450453
39,baghdad,33.3406,44.4009,96.8,20,40,9.22,IQ,1619450454
40,santona,43.4439,-3.4576,61.0,82,75,4.61,ES,1619450454
41,avarua,-21.2078,-159.775,71.6,100,68,1.14,CK,1619450454
42,mirnyy,62.5353,113.9611,15.26,85,89,9.95,RU,1619450455
43,hasaki,35.7333,140.8333,48.2,53,20,8.05,JP,1619450455
44,busselton,-33.65,115.3333,59.0,87,100,1.01,AU,1619450455
45,sergach,55.5308,45.4661,47.75,48,8,12.55,RU,1619450456
46,korla,41.7597,86.1469,57.96,30,27,8.48,CN,1619450456
47,sistranda,63.7256,8.834,41.0,70,75,11.5,NO,1619450456
48,barrow,71.2906,-156.7887,8.6,78,1,12.66,US,1619450457
49,arraial do cabo,-22.9661,-42.0278,80.6,74,20,3.44,BR,1619450457
50,cootamundra,-34.65,148.0333,47.77,71,0,2.68,AU,1619450458
51,kapaa,22.0752,-159.319,73.4,78,90,11.5,US,1619450458
52,asau,46.4333,26.4,46.0,43,45,1.88,RO,1619450458
53,mitsamiouli,-11.3847,43.2844,86.0,70,20,8.05,KM,1619450459
54,batticaloa,7.7102,81.6924,82.29,77,98,12.41,LK,1619450459
55,vaini,-21.2,-175.2,75.2,100,75,3.44,TO,1619450459
56,limeira,-22.5647,-47.4017,84.99,37,51,2.44,BR,1619450439
57,awjilah,29.1081,21.2869,81.79,19,0,7.72,LY,1619450460
58,puerto leguizamo,-0.1934,-74.7819,84.16,69,99,2.15,CO,1619450460
59,shar,49.5886,81.0453,54.37,29,95,9.26,KZ,1619450460
